modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,.iter,tree_depth,learn_rate,loss_reduction,sample_size
GBM,bayes,roc_auc,binary,0.5443426688414158,5,0.02707796887270169,10,38,pre0_mod18_post0,0,4,0.023357214690901212,4.832930238571752e-7,0.9210526315789473
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,11,16,pre0_mod19_post0,0,1,0.005455594781168515,1.8329807108324338e-5,0.868421052631579
GBM,bayes,pr_auc,binary,0.9735597227999547,5,0.003805458901467892,11,16,pre0_mod19_post0,0,1,0.005455594781168515,1.8329807108324338e-5,0.868421052631579
GBM,bayes,roc_auc,binary,0.8853520585976726,5,0.016727917518719784,11,16,pre0_mod19_post0,0,1,0.005455594781168515,1.8329807108324338e-5,0.868421052631579
GBM,bayes,f_meas,binary,0.9423226928757638,5,0.004563321343919563,12,6,pre0_mod20_post0,0,5,0.01623776739188721,6.951927961775605e-4,0.763157894736842
GBM,bayes,pr_auc,binary,0.9826965217823261,5,0.0031844663904310078,12,6,pre0_mod20_post0,0,5,0.01623776739188721,6.951927961775605e-4,0.763157894736842
GBM,bayes,roc_auc,binary,0.9271765271765271,5,0.01054765175943255,12,6,pre0_mod20_post0,0,5,0.01623776739188721,6.951927961775605e-4,0.763157894736842
GBM,bayes,f_meas,binary,0.9375757797680035,5,0.005660330671990647,9,2,iter01,1,4,0.0457891349812242,5.2799235249297765e-9,0.7812106007021852
GBM,bayes,pr_auc,binary,0.9783552580635323,5,0.0039901934221989906,9,2,iter01,1,4,0.0457891349812242,5.2799235249297765e-9,0.7812106007021852
GBM,bayes,roc_auc,binary,0.9138927163989821,5,0.012143649821385404,9,2,iter01,1,4,0.0457891349812242,5.2799235249297765e-9,0.7812106007021852
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,3,2,iter02,2,1,1.6330164239380653e-4,0.022781688912120377,0.9884869694687659
GBM,bayes,pr_auc,binary,0.9704517830902086,5,0.004866025566049605,3,2,iter02,2,1,1.6330164239380653e-4,0.022781688912120377,0.9884869694687659
GBM,bayes,roc_auc,binary,0.8674423251490921,5,0.02220048673522564,3,2,iter02,2,1,1.6330164239380653e-4,0.022781688912120377,0.9884869694687659
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,11,8,iter03,3,1,0.0027513034447125,8.251304772737967e-4,0.9705019635919017
GBM,bayes,pr_auc,binary,0.9737415793594592,5,0.002894198496559092,11,8,iter03,3,1,0.0027513034447125,8.251304772737967e-4,0.9705019635919017
GBM,bayes,roc_auc,binary,0.886912567614322,5,0.011292501374849776,11,8,iter03,3,1,0.0027513034447125,8.251304772737967e-4,0.9705019635919017
GBM,bayes,f_meas,binary,0.942124421385134,5,0.002957244326365999,9,8,iter04,4,6,0.012847804531583552,3.3313116225330845e-10,0.741385357075883
GBM,bayes,pr_auc,binary,0.9829041090970321,5,0.0031479650377276656,9,8,iter04,4,6,0.012847804531583552,3.3313116225330845e-10,0.741385357075883
GBM,bayes,roc_auc,binary,0.9265362781653508,5,0.010727666212900432,9,8,iter04,4,6,0.012847804531583552,3.3313116225330845e-10,0.741385357075883
GBM,bayes,f_meas,binary,0.9397698719700891,5,0.0051980353272834175,12,6,iter05,5,4,0.0327971582276977,0.20270976195658755,0.5098682473817607
GBM,bayes,pr_auc,binary,0.9815478530953353,5,0.0024478525736913634,12,6,iter05,5,4,0.0327971582276977,0.20270976195658755,0.5098682473817607
GBM,bayes,roc_auc,binary,0.9196835884805811,5,0.009534866760736213,12,6,iter05,5,4,0.0327971582276977,0.20270976195658755,0.5098682473817607
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,4,2,iter06,6,2,3.1526613050863794e-4,2.111027330154159e-4,0.5071641316176858
GBM,bayes,pr_auc,binary,0.9779765576382142,5,0.004744275614986395,4,2,iter06,6,2,3.1526613050863794e-4,2.111027330154159e-4,0.5071641316176858
GBM,bayes,roc_auc,binary,0.9016055048636502,5,0.019682410505899677,4,2,iter06,6,2,3.1526613050863794e-4,2.111027330154159e-4,0.5071641316176858
GBM,bayes,f_meas,binary,0.9423181947924925,5,0.004432847879447956,6,5,iter07,7,4,0.0057319797563093995,1.280584481118444e-7,0.7616112143605714
GBM,bayes,pr_auc,binary,0.9859349564178767,5,0.0028994986994589343,6,5,iter07,7,4,0.0057319797563093995,1.280584481118444e-7,0.7616112143605714
GBM,bayes,roc_auc,binary,0.9384899839787059,5,0.010461429816622939,6,5,iter07,7,4,0.0057319797563093995,1.280584481118444e-7,0.7616112143605714
GBM,bayes,f_meas,binary,0.9269040219765629,5,0.007129008338769215,8,14,iter08,8,3,0.03635406235392793,5.084625057139942e-7,0.9718357218780788
GBM,bayes,pr_auc,binary,0.9739294258465286,5,0.0028254510651166613,8,14,iter08,8,3,0.03635406235392793,5.084625057139942e-7,0.9718357218780788
GBM,bayes,roc_auc,binary,0.8904159750024412,5,0.010296093514846411,8,14,iter08,8,3,0.03635406235392793,5.084625057139942e-7,0.9718357218780788
GBM,bayes,f_meas,binary,0.9432364581032182,5,0.003147466499867769,5,6,iter09,9,6,0.008255764934882509,6.316264152716281e-9,0.8863818448317238
GBM,bayes,pr_auc,binary,0.985502811656375,5,0.003108661492260941,5,6,iter09,9,6,0.008255764934882509,6.316264152716281e-9,0.8863818448317238
GBM,bayes,roc_auc,binary,0.9365263206115337,5,0.011134585121863346,5,6,iter09,9,6,0.008255764934882509,6.316264152716281e-9,0.8863818448317238
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,6,5,iter10,10,6,2.2686867282871532e-4,0.002002106111485534,0.6563746110000181
GBM,bayes,pr_auc,binary,0.9816218450050944,5,0.003841606466354693,6,5,iter10,10,6,2.2686867282871532e-4,0.002002106111485534,0.6563746110000181
GBM,bayes,roc_auc,binary,0.9212439468078566,5,0.014130971920198916,6,5,iter10,10,6,2.2686867282871532e-4,0.002002106111485534,0.6563746110000181
GBM,bayes,f_meas,binary,0.9148186635614478,5,0.0043470331206558995,12,11,iter11,11,2,0.04114272719805774,1.370360784255796e-10,0.5096889890167862
GBM,bayes,pr_auc,binary,0.968438024692698,5,0.0027195410773868055,12,11,iter11,11,2,0.04114272719805774,1.370360784255796e-10,0.5096889890167862
GBM,bayes,roc_auc,binary,0.8652313202438515,5,0.010206838077626434,12,11,iter11,11,2,0.04114272719805774,1.370360784255796e-10,0.5096889890167862
GBM,bayes,f_meas,binary,0.9426692772941945,5,0.005153388894982461,10,4,iter12,12,5,0.02779537410943109,2.6360421988727283e-6,0.9873876276646043
GBM,bayes,pr_auc,binary,0.981380131793519,5,0.0039092533792890296,10,4,iter12,12,5,0.02779537410943109,2.6360421988727283e-6,0.9873876276646043
GBM,bayes,roc_auc,binary,0.9227261274880324,5,0.013050591599393323,10,4,iter12,12,5,0.02779537410943109,2.6360421988727283e-6,0.9873876276646043
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,7,5,iter13,13,2,9.462272010831467e-4,0.09460605113497313,0.890948744378495
GBM,bayes,pr_auc,binary,0.9784100860929935,5,0.004381573996824064,7,5,iter13,13,2,9.462272010831467e-4,0.09460605113497313,0.890948744378495
