modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,tree_depth,learn_rate,loss_reduction,sample_size
GBM,grid,roc_auc,binary,0.926378596804662,5,0.010895919446942971,9,5,pre0_mod44_post0,3,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.9334101325785571,5,0.005708048198671378,9,5,pre0_mod45_post0,3,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9779760466300904,5,0.0025430090440343397,9,5,pre0_mod45_post0,3,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.9079565194853415,5,0.007835253513058553,9,5,pre0_mod45_post0,3,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.9344474364283804,5,0.005231933694939738,9,5,pre0_mod46_post0,3,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9770277280238144,5,0.003323332948404979,9,5,pre0_mod46_post0,3,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.9078771363232516,5,0.00931868351403287,9,5,pre0_mod46_post0,3,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9358709243905606,5,0.007483626048237605,9,5,pre0_mod47_post0,3,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.979097351354976,5,0.002614569527448269,9,5,pre0_mod47_post0,3,0.08,0.01,0.7
GBM,grid,roc_auc,binary,0.9105836983029965,5,0.008658743113448194,9,5,pre0_mod47_post0,3,0.08,0.01,0.7
GBM,grid,f_meas,binary,0.940039503895453,5,0.006794717060790976,9,5,pre0_mod48_post0,3,0.08,0.01,0.9
GBM,grid,pr_auc,binary,0.9773385774376822,5,0.0034272336699638596,9,5,pre0_mod48_post0,3,0.08,0.01,0.9
GBM,grid,roc_auc,binary,0.9089230411285549,5,0.010126765199880424,9,5,pre0_mod48_post0,3,0.08,0.01,0.9
GBM,grid,f_meas,binary,0.9101801190200838,5,0.004299069706255267,9,15,pre0_mod49_post0,1,0.03,1e-5,0.7
